Complexity,Loss,Equation
1,0.043932926,"0.21354096"
4,0.014363325,"inv(v_dotB2 - -1.963826)"
6,0.0045007546,"inv(v_dotB2 + (v_dotB3 - -1.2158631))"
7,0.0029907003,"inv(sqrt(v_dotB3 + v_dotB2)) * 0.39087257"
9,0.0013354527,"sqrt(inv(v_dotB1 - ((v_dotB3 + v_dotB2) / -0.1873252)))"
11,0.0009790169,"inv(sqrt(v_dotB1 + (v_B1B3 - ((v_dotB3 + v_dotB2) / -0.18914793))))"
13,0.0006448194,"inv(sqrt((v_dotB1 + (v_B1B3 - ((v_dotB3 + v_dotB2) / -0.41800457))) * 1.9739648))"
15,0.00014486231,"sqrt(inv((v_dotB1 + ((v_B1B2 + v_B1B3) - ((v_dotB2 + v_dotB3) / -0.48333418))) * 2.2638488))"
17,1.785011e-12,"sqrt(inv((((v_B1B2 + v_B1B3) * 2.999968) + (v_dotB1 - ((v_dotB2 + v_dotB3) * -5.000036))) + v_dotB1))"
20,8.985831e-13,"inv(sqrt((inv(1.0000527 / v_dotB1) + ((v_B1B2 + v_B1B3) * 2.999968)) + (v_dotB1 - ((v_dotB2 + v_dotB3) * -5.000036))))"
21,5.7738055e-14,"inv(sqrt(((v_dotB1 + (3.033766 * (v_B1B2 + v_B1B3))) + (v_dotB1 / 0.97797406)) - ((v_dotB2 + v_dotB3) * -5.0562654))) * 1.0056119"
